index;Группа груза;Код группы;Груз;Холдинг грузоотправителя;Грузоотправитель;Дорога отправления;Станция отправления;Код ЕСР станции отправления;Дорога назначения;Станция назначения;Код ЕСР станции назначения;КЛЮЧ_КОД_МАРШРУТА;vid;Полигон;Вид сообщения;Род вагона;Тип отправки;Расстояние перевозки (гружёный рейс), км;Расстояние перевозки (порожний рейс), км;Загрузка в вагон, т.;Возврат порожних вагонов,%;Срок доставки, гружёный рейс;Срок доставки,порожний рейс;Срок доставки, погр./выгр.;Ставка на вагон, руб. за вагон в сутки;"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (груженый пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (порожний пробег)";"Расходы по оплате услуг ОАО ""РЖД"", руб. за тонну (итого)";Расходы по оплате услуг операторов_2024, руб. за тонну;Расходы на перевалку_2024, руб. за тонну;Акциз/пошлина;Общие транспортные расходы, руб. за тонну ;Себестоимость добычи/производства, руб. т.;Общие расходы, руб. за тонну;Стоимость 1 тонны на рынке, руб./т.;fraht_2024;fraht_2025;fraht_2026;fraht_2027;fraht_2028;fraht_2029;fraht_2030;fraht_2031;fraht_2032;fraht_2033;fraht_2034;fraht_2035;ipem_gr;ipem_pr;key;typical_index;price_coeff_2025;price_coeff_2026;price_coeff_2027;price_coeff_2028;price_coeff_2029;price_coeff_2030;price_coeff_2031;price_coeff_2032;price_coeff_2033;price_coeff_2034;price_coeff_2035;elastic_category
151;Уголь каменный;1;УГОЛЬ Д;"ООО ""УК"" Эльга""";ОГОДЖИНСКАЯ УГОЛЬНАЯ КОМПАНИЯ, ООО;ДВС;ФЕВРАЛЬСК;91610;ЗАБ;БЛАГОВЕЩЕНСК;95470;91610_95470;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;1 107;1 107;75;;6;6;4;3 032,00;691,65;430,42;1 122,07;646,83;;;1 768,90;2 731,34;4 500,23;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1368726;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
152;Уголь каменный;1;УГОЛЬ Д;"АО ""СУЭК""";РАЗРЕЗ ТУГНУЙСКИЙ, АО;ВСБ;ЧЕЛУТАЙ;93790;ДВС;НАХОДКА-В-ЭК;98610;93790_98610;Экспорт;Восток;Экспорт (Восток);Полувагоны;маршрутная;3 731;3 731;75;;9;9;4;3 032,00;1 595,77;714,95;2 310,72;889,39;1 292,85;;4 492,96;4 092,63;8 585,59;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1054665;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
153;Уголь каменный;1;УГОЛЬ Г;"ООО ""Промугольсервис""";РЕСУРС, ООО;ЗСБ;ЕРУНАКОВО;86300;ДВС;НАХОДКА-В-ЭК;98610;86300_98610;Экспорт;Восток;Экспорт (Восток);Полувагоны;группа вагонов;6 247;6 247;69;;17;18;4;2 470,00;2 584,49;1 171,15;3 755,64;1 396,09;1 292,85;;6 444,58;3 342,25;9 786,83;8015,67;0;0;0;0;0;0;0;0;0;0;0;0;1368024;26688;Уголь каменныйЭкспортВосток;98;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
154;Уголь каменный;1;КОНЦЕНТР УГОЛЬН;"ЗАО ""Стройсервис""";СТРОЙСЕРВИС, АО;ЗСБ;БИРЮЛИНСКАЯ;87190;СЕВ;ЧЕРЕПОВЕЦ 2;30250;87190_30250;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;3 465;3 465;69;;12;13;4;2 470,00;1 649,32;797,25;2 446,57;1 038,12;;;3 484,69;6 373,99;9 858,68;6635,65;0;0;0;0;0;0;0;0;0;0;0;0;1373826;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
155;Уголь каменный;1;УГОЛЬ Д;"АО ""СУЭК""";СУЭК-ХАКАСИЯ, ООО;КРС;ЧЕРНОГ.КОПИ;88790;ОКТ;МУРМАНСК-ПЕР;1830;88790_1830;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;маршрутная;5 362;5 362;75;;13;12;4;3 032,00;1 446,01;912,19;2 358,20;1 172,37;;;3 530,57;3 972,41;7 502,98;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1371518;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
156;Уголь каменный;1;ПРОМПРОДУКТ УГ;"ПАО ""Мечел""";ЯКУТУГОЛЬ, АО ХК;ДВС;НЕРЮНГРИ-ГР;91160;ДВС;НЕРЮНГРИ-ПАС;91150;91160_91150;Внутр. перевозки;Восток;Внутр. перевозки (Восток);Полувагоны;группа вагонов;8;8;69;;3;3;4;2 470,00;167,72;4,53;172,25;357,97;;;530,22;5 595,95;6 126,17;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1366547;26688;Уголь каменныйВнутр. перевозкиВосток;24;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
157;Уголь каменный;1;УГОЛЬ Г;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;ОКТ;ЛУЖСКАЯ-ЭКСП;7640;86300_7640;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;4 175;4 175;69;;15;16;4;2 470,00;2 004,78;899,89;2 904,67;1 252,90;1 034,28;;5 191,85;4 426,45;9 618,30;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1370500;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
158;Уголь каменный;1;АНТРАЦИТ;"ПАО ""Мечел""";ЮЖНЫЙ КУЗБАСС, ПАО;ЗСБ;КИЙЗАК;86480;ЗСБ;ЛОК-Э-РУБ-РС;84330;86480_84330;Экспорт;Юг;Экспорт (Юг);Полувагоны;повагонная;674;674;69;;5;4;4;2 470,00;660,96;295,08;956,04;465,36;;;1 421,40;4 722,64;6 144,04;10110,087;0;0;0;0;0;0;0;0;0;0;0;0;1365569;26688;Уголь каменныйЭкспортЮг;0;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
159;Уголь каменный;1;УГОЛЬ Д;"АО ""Талтэк""";ТАЛТЭК, АО;ЗСБ;ЕРУНАКОВО;86300;СЕВ;ШАРЬЯ;30750;86300_30750;Внутр. перевозки;Северо-Запад;Внутр. перевозки (Северо-Запад);Полувагоны;группа вагонов;3 048;3 048;69;;11;12;4;2 470,00;1 525,04;738,60;2 263,64;966,52;;;3 230,16;4 426,45;7 656,61;3436,22;0;0;0;0;0;0;0;0;0;0;0;0;1370912;26688;Уголь каменныйВнутр. перевозкиСеверо-Запад;25;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
160;Уголь каменный;1;УГОЛЬ Д;"АО ""СУЭК""";СУЭК-ХАКАСИЯ, ООО;КРС;ЧЕРНОГ.КОПИ;88790;ОКТ;МУРМАНСК-ЭКС;1850;88790_1850;Экспорт;Северо-Запад;Экспорт (Северо-Запад);Полувагоны;группа вагонов;5 362;5 362;75;;16;16;4;3 032,00;2 065,95;976,28;3 042,23;1 455,36;1 034,28;;5 531,87;3 972,41;9 504,28;5645,445;0;0;0;0;0;0;0;0;0;0;0;0;1372328;26688;Уголь каменныйЭкспортСеверо-Запад;76;1;1;1;1;1;1;1;1;1;1;1;Уголь каменный
