Код;Наименование;Код группы груза
225283;СМОЛЫ НЕФТЯНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
225298;СМОЛЫ НЕФТЯНЫЕ, ТЯЖЕЛЫЕ, ТЕМПЕРАТУРА ВСПЫШКИ ВЫШЕ 61 С, НО НИЖЕ 90 С;10
225300;СЫРЬЕ НЕФТЯНОЕ ДЛЯ ПРОИЗВОДСТВА ТЕХНИЧЕСКОГО УГЛЕРОДА;10
225315;ТОПЛИВО ДЛЯ МАРТЕНОВСКИХ ПЕЧЕЙ;8
225325;ЭКСТРАНОЛ;10
226002;ГАЗЫ ЭНЕРГЕТИЧЕСКИЕ (УГЛЕВОДОРОДНЫЕ СЖИЖЕННЫЕ);10
226017;БЕНЗИН НЕСТАБИЛЬНЫЙ ГАЗОВЫЙ;8
226021;БЕНЗИН СТАБИЛЬНЫЙ ГАЗОВЫЙ (ГАЗОЛИН);8
226040;БУТАН ИЛИ БУТАНА СМЕСИ;10
226055;ВИНИЛ;10
226069;ДИСТИЛЛЯТЫ ГАЗОВОГО КОНДЕНСАТА;10
226074;ГАЗЫ УГЛЕВОДОРОДНЫЕ СЖИЖЕННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
226093;ИЗОБУТАН ИЛИ ИЗОБУТАНА СМЕСИ;10
226106;КОНДЕНСАТ ГАЗОВЫЙ (КОН-ДЕНСАТ ИЗ ПРИРОДНОГО ГАЗА);10
226110;МЕТАН СЖАТЫЙ ИЛИ ГАЗЫ ПРИРОДНЫЕ СЖАТЫЕ С ВЫСО-КИМ СОДЕРЖАНИЕМ МЕТАНА;10
226125;ПРОПАН;10
226135;ПРОПАН-БУТАН;10
226144;РЕФЛЮКСЫ;10
226159;СМЕСЬ ПРОПАН-БУТАДИЕНОВАЯ;10
226163;ФРАКЦИЯ БУТАН-БУТИЛЕНОВАЯ;10
226178;ФРАКЦИЯ БУТИЛЕН-АМИЛЕНОВАЯ;10
226182;ФРАКЦИЯ БУТИЛЕН-БУТАДИЕНОВАЯ;10
226197;ФРАКЦИЯ БУТИЛЕН-ИЗОБУТИЛЕНОВАЯ;10
226201;ФРАКЦИЯ БУТИЛЕНОВАЯ;10
226214;ФРАКЦИЯ ИЗОАМИЛЕНОВАЯ;10
226229;ФРАКЦИЯ ИЗОБУТИЛЕНОВАЯ;10
226233;ФРАКЦИЯ ПЕНТАИЗОПРЕН-ЦИКЛОПЕНТАДИЕНОВАЯ;10
226248;ФРАКЦИЯ ПИПЕРИЛЕНОВАЯ;10
226252;ФРАКЦИЯ ПОЛИАЛКИЛБЕНЗОЛОВ;10
226267;ФРАКЦИЯ ПРОПАН-БУТАНОВАЯ;10
226271;ФРАКЦИЯ ПРОПАН-ПРОПИЛЕНОВАЯ;10
226286;ФРАКЦИЯ ПРОПИЛЕНОВАЯ;10
226290;ФРАКЦИЯ ШИРОКАЯ ЛЕГКИХ УГЛЕВОДОРОДОВ (ШФЛУ);10
226303;ЭТАН;10
230008;МАТЕРИАЛЫ МИНЕРАЛЬНО-СТРОИТЕЛЬНЫЕ ПРИРОД-НЫЕ. ЗОЛА. ШЛАКИ, КРОМЕ ГРАНУЛИРОВАННЫХ МЕТАЛ-ЛУРГИЧЕСКИХ ДЛЯ ПЕРЕ-ПЛАВКИ;10
231000;ЗЕМЛЯ, ПЕСОК, ГЛИНА СТРОИТЕЛЬНЫЕ;5
231015;ГЛИНА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;5
231024;ГРУНТ (ЗЕМЛЯ ОБЫКНОВЕННАЯ);10
231034;ДЕРН;10
231049;ИЛ;10
631053;КРОШКА ИЗВЕСТКОВАЯ;10
231068;МУСОР ПОСТРОЕЧНЫЙ;10
231072;ПЕСОК СТРОИТЕЛЬНЫЙ;5
231087;РАКУШКА МОРСКАЯ И РЕЧНАЯ;10
231091;РАКУШКА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
231104;САПОНАТ (КИЛ);10
231119;СМЕСЬ ГОРНЫХ ПОРОД С АСБЕСТОВЫМИ ОТХОДАМИ;10
231123;СМЕСЬ ПЕСЧАНО-ГРАВИЙНАЯ;5
231138;ТЕРЕЗИТ;10
231142;ПЫЛЬ ИНЕРТНАЯ;10
232003;КАМНИ ПРИРОДНЫЕ СТРОИТЕЛЬНЫЕ И ПОДЕЛОЧНЫЕ. ТУФ;10
232018;АГАЛЬМАТОЛИТ;10
232022;АГЛОПОРИТ;10
232037;АРАГОНИТ;10
232041;БАЗАЛЬТ;10
232056;ГАББРО;10
232060;ГАЛЬКА;5
232075;ГНЕЙС;10
232087;ГРАВИЙ;5
232094;ГРАНИТ;10
232107;ДИАБАЗ;10
232111;ДИОРИТ;10
232126;ЗАПОЛНИТЕЛЬ ИЗ ЕСТЕСТВЕННОГО КАМНЯ;10
232130;ИЗВЕСТНЯК (КАМЕНЬ ИЗВЕСТНЯКОВЫЙ) СТРОИТЕЛЬНЫЙ;5
232145;КАМЕНЬ БУЛЫЖНЫЙ (БУЛЫЖНИК);5
232153;КАМЕНЬ БУТОВЫЙ (БУТ);5
232164;КАМЕНЬ СТРОИТЕЛЬНЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;5
232179;КАМЕНЬ ТАЛЬКОВЫЙ (ТАЛЬК В КУСКАХ);5
232183;КИАНИТ (МИНЕРАЛ);10
232198;КОЛЕМАНИТ;10
232200;МРАМОР В КУСКАХ И ГЛЫБАХ;10
232215;МРАМОР МОЛОТЫЙ;10
232220;МУКА (ПОРОШОК) АНДЕЗИТОВАЯ;7
232234;МУКА (ПОРОШОК) АСПИДНАЯ;7
232249;ОЛИВИН (МИНЕРАЛ);10
232253;ОТСЕВ ГРАНИТНЫЙ ИЛИ КАМЕННЫЙ;10
232268;ОТХОДЫ АСБОШИФЕРНЫЕ И ШИФЕРНЫЕ;10
232272;ПЕРЛИТ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
232287;ПЕСОК ФУТЕРОВОЧНЫЙ;5
232291;ПЕСЧАНИК;10
232304;ПОРФИР;10
232319;ПОРФИРИТ;10
232323;РАКУШЕЧНИК;10
232338;СИЕНИТ (МИНЕРАЛ);10
232342;ТАЛЬК МОЛОТЫЙ;10
232357;ТРАСС (КАМЕНЬ ПРИРОДНЫЙ);5
232361;ТУФ ИЗВЕСТКОВЫЙ;10
232376;ТУФ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
232380;ШПАТ ИЗВЕСТКОВЫЙ;10
232395;ЩЕБЕНЬ ГРАНИТНЫЙ;5
232408;ЩЕБЕНЬ ИЗ ГРАВИЯ;5
232412;ЩЕБЕНЬ ИЗ ГРАВИЯ МАРКИ ДР-8 И НИЖЕ;5
232427;ЩЕБЕНЬ ШУНГИТОВЫЙ (ШУНГИТ);5
232431;ЩЕБЕНЬ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;5
233006;ГИПС, ИЗВЕСТЬ, МЕЛ;5
233010;АЛЕБАСТР (ГИПС) В КУСКАХ И МОЛОТЫЙ;5
233025;АНГИДРИТ (ШПАТ ПОЛЕВОЙ И ШПАТ ЛЕГКИЙ) В КУСКАХ И МОЛОТЫЙ;10
233030;ГАЖА (МЕРГЕЛЬ ГИПСОВЫЙ);5
233044;ГИПС, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;5
233059;ГИПС ТЕХНИЧЕСКИЙ;5
233063;ИЗВЕСТНЯК МОЛОТЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
233078;ИЗВЕСТЬ ГАЗОВАЯ;5
233082;ИЗВЕСТЬ ГИДРАВЛИЧЕСКАЯ;5
233097;ИЗВЕСТЬ ГАШЕНАЯ (ПУШОНКА);5
233106;ИЗВЕСТЬ КАРБОНАТНАЯ;5
233114;ИЗВЕСТЬ НЕГАШЕНАЯ;5
233129;ИЗВЕСТЬ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;5
233133;ИЗВЕСТЬ ФОСФОРНОКИСЛАЯ;5
233148;ЛИТИН (ПОРОШОК ДЛЯ ШТУКАТУРКИ);10
233152;МЕЛ В КУСКАХ, МОЛОТЫЙ И ТОЛЧЕНЫЙ;10
233167;МЕЛ ТЕХНОЛОГИЧЕСКИЙ;10
233171;МЕРГЕЛИ;10
233186;ПОРОШОК ИЗВЕСТКОВЫЙ;10
233190;ПОРОШОК МИНЕРАЛЬНЫЙ;10
233203;ПЫЛЬ ЦЕМЕНТНЫХ ПЕЧЕЙ;5
233218;СЕЛЕНИТ;10
234009;ЗАПОЛНИТЕЛИ ПОРИСТЫЕ;7
234013;ВЕРМИКУЛИТ ВСПУЧЕННЫЙ;10
234028;КЕРАМЗИТ;10
234032;ПЕМЗА ЛИТОИДНАЯ;10
234047;ПЕРЛИТ ВСПУЧЕННЫЙ;10
234051;ТЕРМОЗИТ (ЩЕБЕНЬ ИЗ ШЛАКОВОЙ ПЕМЗЫ);5
234066;ШУНГИЗИТ;10
234070;ГРАВИЙ КЕРАМЗИТОВЫЙ;5
234085;ЗАПОЛНИТЕЛИ ПОРИСТЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;7
235001;ЗОЛА, ШЛАКИ, КРОМЕ ГРАНУЛИРОВАННЫХ И МЕТАЛЛУРГИЧЕСКИХ ДЛЯ ПЕРЕПЛАВКИ;10
235016;ЗОЛА ДРЕВЕСНАЯ;10
235020;ЗОЛА КАМЕННОУГОЛЬНАЯ;1
235035;ЗОЛА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
235045;ЗОЛА СЛАНЦЕВАЯ;10
235054;ЗОЛА ТОРФЯНАЯ;10
235069;СМЕСЬ ЗОЛОШЛАКОВАЯ ТЕПЛОВЫХ ЭЛЕКТРОСТАНЦИЙ;10
235073;ШЛАКИ ДОМЕННЫЕ;10
235088;ШЛАКИ, КРОМЕ ГРАНУЛИРОВАННЫХ МЕТАЛЛУРГИЧЕСКИХ ДЛЯ ПЕРЕПЛАВКИ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
235092;ШЛАКИ ЭЛЕКТРОПЕЧНЫЕ;10
236004;БАЛЛАСТ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ;10
236019;БАЛЛАСТ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ ВСЯКИЙ (ГРАВИЙ, ПЕСОК, ЩЕБЕНЬ, АСБЕСТОВЫЕ ОТХОДЫ);5
236023;ПЕСОК ДЛЯ ПЕСОЧНИЦ ЛОКОМОТИВОВ;5
236038;ЩЕБЕНЬ ДЛЯ БАЛЛАСТИРОВКИ ЖЕЛЕЗНОДОРОЖНОГО ПУТИ;5
240000;СЫРЬЕ МИНЕРАЛЬНОЕ ПРОМЫШЛЕННОЕ. МАТЕРИАЛЫ ФОРМОВОЧНЫЕ АБРАЗИВНЫЕ;10
241002;ЗЕМЛЯ, ПЕСОК, ГЛИНА И КАМНИ ПРИРОДНЫЕ - СЫРЬЕ ПРОМЫШЛЕННОЕ;5
241017;АГАТ;10
241021;АЛЬМАНДИН;10
241036;АНДЕЗИТЫ;10
241040;АРГИЛЛИТ;10
241055;АСКАНГЕЛЬ (ГЛИНА БЕЛАЯ);5
241063;АСПИД;10
241074;БОЙ ГРАФИТОВЫЙ;10
241089;БОЙ И ЛОМ КАРБОРУНДОВЫХ КАМНЕЙ;10
241093;БОЙ И ЛОМ КОРУНДОВЫХ КАМНЕЙ;10
241106;БОЙ КЕРАМИЧЕСКИЙ;10
241110;БОЙ КИРПИЧА ХРОМОМАГНЕЗИТОВОГО;5
241125;БОЙ КИРПИЧА ШАМОТНОГО;5
241130;БОЙ КИРПИЧНЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;5
241144;БОЙ НАЖДАЧНЫХ ТОЧИЛЬНЫХ И ШЛИФОВАЛЬНЫХ КАМНЕЙ;10
241159;БОЙ ОГНЕУПОРНЫХ ИЗДЕЛИЙ;10
241163;БОЙ СТЕКЛЯННЫЙ;10
241178;БОЙ ФАРФОРОВЫЙ;10
241182;БОЙ ФАЯНСОВЫЙ;10
241197;БОЙ ЭЛЕКТРОДНЫЙ;10
241206;БОРОГИПС ГРАНУЛИРОВАННЫЙ;5
241214;ГЛИЕЖ (ЗЕМЛЯ);10
241229;ГЛИНА БЕНТОНИТОВАЯ;5
241233;ГЛИНА КРАСИЛЬНАЯ;5
241248;ГЛИНА СУКНОВАЛЬНАЯ;5
241252;ГЛИНА ФАРФОРОВАЯ (КАОЛИН);5
241267;ГЛИНА ФАЯНСОВАЯ;5
241271;ГЛИНА ФОРМОВОЧНАЯ;5
241286;ГЛИНОПОРОШОК;10
241290;ГРАФИТ;10
241303;ДОЛОМИТ СЫРОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
241318;ЗЕМЛЯ ИНФУЗОРНАЯ - ДИАТОМИТ, ТРЕПЕЛ, ОПОКИ, КИЗЕЛЬГУР И ДР., НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
241322;КАМЕНЬ ГИПСОВЫЙ;5
241337;КАМЕНЬ ИЗВЕСТНЯКОВЫЙ ТЕХНОЛОГИЧЕСКИЙ (ИЗВЕСТНЯК);5
241341;КАМЕНЬ ЛИТОГРАФСКИЙ;5
241356;КВАРЦ И КОНЦЕНТРАТ КВАРЦЕВЫЙ;10
241360;КРЕМЕНЬ;10
241375;ЛАЗУРИТ (ЛЯПИС-ЛАЗУРЬ);10
241382;ЛАПИДИТ В КУСКАХ;10
241394;МАЛАХИТ (МИНЕРАЛ);10
241407;МУКА БЕЛИТОВАЯ (ОТХОДЫ АЛЮМИНИЕВОГО ПРОИЗВОДСТВА);7
241411;ОТХОДЫ ИЗВЕСТКОВЫЕ АПАТИТОВЫХ И НЕФЕЛИНОВЫХ ОБОГАТИТЕЛЬНЫХ;10
;ФАБРИК;
241426;ОТХОДЫ ИЗВЕСТКОВЫЕ РАЗНЫХ ПРОИЗВОДСТВ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
241430;ОТХОДЫ ИЗВЕСТКОВЫЕ ФОСФОРИТОВЫХ РУД;10
241445;ПАСТА ЛИТЕЙНАЯ ПРОТИВОПРИГАРНАЯ;10
241459;ПЕГМАТИТ;10
241464;ПЕСОК КВАРЦЕВЫЙ, КРОМЕ СТРОИТЕЛЬНОГО;5
241479;ПЕСОК ФОРМОВОЧНЫЙ;5
241483;ПОРОШКИ ДИАБАЗОВЫЕ;10
241498;ПОРОШОК ГРАФИТОВЫЙ;10
241500;ПОРФИРОИДЫ;10
241515;ПРОДУКТ ПОЛЕВОШПАТОВЫЙ;10
241525;УТЯЖЕЛИТЕЛИ ВСЯКИЕ ДЛЯ БУРОВЫХ РАСТВОРОВ;10
241534;ФЛЮСЫ СВАРОЧНЫЕ (ДЛЯ АВТОМАТИЧЕСКОЙ ЭЛЕКТРОСВАРКИ);10
241549;ХАЛЦЕДОН;10
241553;ЦЕЛЕСТИН (МИНЕРАЛ);4
241568;ЦЕМЯНКА (КИРПИЧ МОЛОТЫЙ, ТОЛЧЕНЫЙ);5
241572;ШКВАР (ОСТАТКИ СТЕКОЛЬНОГО ПРОИЗВОДСТВА);10
241587;ЯШМА (КАМЕНЬ);5
241591;МУКА ДОЛОМИТОВАЯ (ДОЛОМИТ МОЛОТЫЙ);7
241604;ОКСИДЫ МАГНИЯ ПРИРОДНЫЕ;10
242005;РУДЫ НЕМЕТАЛЛИЧЕСКИЕ, КРОМЕ СЕРНОГО СЫРЬЯ;9
242016;БАРИТ (ШПАТ ТЯЖЕЛЫЙ);10
242024;ВИТЕРИТ;10
242039;КОНЦЕНТРАТ БАРИТОВЫЙ;10
242043;РУДА БОЛОТНАЯ;9
242058;РУДА БОРАТОВАЯ;9
242062;РУДА БАРИТОВАЯ;9
242077;РУДА КВАРЦЕВАЯ;9
242081;РУДА МАГНЕЗИТОВАЯ;9
242096;РУДА ФЛЮОРИТОВАЯ (ШПАТ ПЛАВИКОВЫЙ, ФЛЮОРИТ, КОНЦЕНТРАТ ФЛЮОРИТОВЫЙ);9
242109;РУДЫ НЕМЕТАЛЛИЧЕСКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;9
242113;СУЛЬФАТ НАТРИЯ ПРИРОДНЫЙ (МИРАБИЛИТ ТЕНАРДИТ);10
242128;"КОНЦЕНТРАТ МИНЕРАЛЬНЫЙ ""ГАЛИТ""";10
243008;МАТЕРИАЛЫ АБРАЗИВНЫЕ;10
243012;ЗЕРНО ШЛИФОВАЛЬНОЕ (МАТЕРИАЛ АБРАЗИВНЫЙ);7
243027;КАРБИД БОРА;10
243031;КАРБИД КРЕМНИЯ (КАРБОРУНД) ЗЕЛЕНЫЙ И ЧЕРНЫЙ В ЗЕРНЕ;10
243046;КАРБИД КРЕМНИЯ (КАРБОРУНД) ЗЕЛЕНЫЙ И ЧЕРНЫЙ В ПОРОШКЕ;10
243050;КОРУНД ПРИРОДНЫЙ;10
243065;МАТЕРИАЛЫ АБРАЗИВНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
243079;МОНОКОРУНД;10
243084;НАЖДАК;10
243099;ЭЛЕКТРОКОРУНД В ЗЕРНЕ, КУСКАХ И В ПОРОШКЕ;10
244000;ПЕМЗА;10
244015;МЕЛОЧЬ ПЕМЗОВАЯ;10
244021;ПЕМЗА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10
245003;КЛИНКЕР ЦЕМЕНТНЫЙ;5
246006;СИЛИКАТ НАТРИЯ РАСТВОРИМЫЙ (СИЛИКАТ-ГЛЫБА);10
246010;СИЛИКАТ-ГЛЫБА (НАТРИЙ КРЕМНЕКИСЛЫЙ, СИЛИКАТ НАТРИЯ, СТЕКЛО РАСТВОРИМОЕ) - СОДОВАЯ, СОДОСУЛЬФАТНАЯ, СУЛЬФАТНАЯ;10
250001;МАТЕРИАЛЫ СТЕНОВЫЕ КРОВЕЛЬНЫЕ;10
251004;МАТЕРИАЛЫ СТЕНОВЫЕ;10
251019;БЛОКИ АГЛОПОРИТОБЕТОННЫЕ;5
251023;БЛОКИ ГРАНИТНЫЕ;10
251038;БЛОКИ ЖЕЛЕЗОБЕТОННЫЕ;5
251042;БЛОКИ ИЗВЕСТКОВО-ПЕСЧАНЫЕ;10
251057;БЛОКИ КЕРАМИЧЕСКИЕ;10
251061;БЛОКИ МРАМОРНЫЕ;10
251076;БЛОКИ СИЛИКАТНЫЕ;10
251080;БЛОКИ СТЕНОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
251095;БЛОКИ ТУФОВЫЕ;10
251108;БЛОКИ ШЛАКОБЕТОННЫЕ;5
251112;БЛОКИ ШЛАКОВЫЕ (ШЛАКОБЛОКИ);10
251127;ГИПСОШЛАКОБЛОКИ;5
251131;ИЗРАЗЦЫ (КАФЕЛЬ);10
251146;КАМЕНЬ ЦЕМЕНТНО-ШЛАКОВЫЙ;5
251150;КАМЕНЬ ШЛАКОБЕТОННЫЙ;5
251165;КАМЕНЬ ШЛАКОВЫЙ;5
251179;ПАНЕЛИ КЕРАМЗИТОБЕТОННЫЕ;5
251184;ПАНЕЛИ СТЕНОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
251199;ПЛИТЫ (ЩИТЫ) И ПЛИТКИ КАМЫШИТОВЫЕ;10
251201;ПЛИТЫ (ЩИТЫ) И ПЛИТКИ МРАМОРНЫЕ;10
251216;ПЛИТЫ И ПЛИТКИ АСБЕСТОШЛАКОВЫЕ;10
251220;ПЛИТЫ И ПЛИТКИ БЕТОННЫЕ;5
251235;ПЛИТЫ И ПЛИТКИ ГИПСОВЫЕ;5
251245;ПЛИТЫ И ПЛИТКИ ГИПСОКАМЫШИТОВЫЕ;5
251254;ПЛИТЫ И ПЛИТКИ ГИПСОЦЕМЕНТНЫЕ;5
251269;ПЛИТЫ И ПЛИТКИ ГРАНИТНЫЕ;10
251273;ПЛИТЫ И ПЛИТКИ ИЗ КАМНЯ ИСКУССТВЕННОГО ШЛИФОВАННЫЕ И ПОЛИРОВАННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
251288;ПЛИТЫ И ПЛИТКИ ИЗ КАМНЯ ПРИРОДНОГО ШЛИФОВАННЫЕ И ПОЛИРОВАННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
251292;ПЛИТКИ КЕРАМИЧЕКИЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
251305;ПЛИТЫ И ПЛИТКИ МЕТЛАХСКИЕ;10
251311;ПЛИТЫ И ПЛИТКИ ПЕНОБЕТОННЫЕ;5
251324;ПЛИТЫ И ПЛИТКИ ПИРОГРАНИТНЫЕ;10
251339;ШТУКАТУРКА СУХАЯ В ПЛИТКАХ;10
252007;МАТЕРИАЛЫ ОТДЕЛОЧНЫЕ, ПОЛИМЕРНЫЕ, КРОВЕЛЬНЫЕ, ГИДРОИЗОЛЯЦИОННЫЕ И ГЕРМЕТИЗИРУЮЩИЕ;10
252011;БОРУЛИН (ГИДРОИЗОЛЯЦИОННЫЙ РУЛОННЫЙ МАТЕРИАЛ);10
252026;БРИЗОЛ;10
252030;ГИДРОБУТИЛ (ГИДРОИЗОЛЯЦИОННЫЙ МАТЕРИАЛ);10
252045;ИЗОЛ;10
252055;КАРТОН КРОВЕЛЬНЫЙ ПРОПИТАННЫЙ;10
252064;ЛИНКРУСТ;10
252079;ЛИНОЛЕУМ;10
252083;ЛИСТЫ РЕЗИНО-БИТУМНЫЕ КРОВЕЛЬНЫЕ;10
252098;ЛИСТЫ БИТУМНЫЕ КРОВЕЛЬНЫЕ;10
252100;МАСТИКА КРОВЕЛЬНАЯ (КЛЕБЕМАССА);10
252115;ПЕРГАМИН КРОВЕЛЬНЫЙ;10
252121;РУБЕРОИД;10
252134;СТЕКЛОРУБЕРОИД;10
252149;ТОЛЬ КРОВЕЛЬНЫЙ;10
252153;ТОЛЬ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
252168;ФОЛЬГОИЗОЛ;10
252172;ШИФЕР РЕЗИНОВЫЙ;10
252187;ИЗОПЛАСТ;10
253008;КИРПИЧ СТРОИТЕЛЬНЫЙ;5
253014;КИРПИЧ БЕТОННЫЙ;5
253029;КИРПИЧ ГИДРАВЛИЧЕСКИЙ;5
253033;КИРПИЧ ГИПСОВЫЙ;5
253048;КИРПИЧ ГЛИНЯНЫЙ ОБЫКНОВЕННЫЙ;5
253052;КИРПИЧ ГЛИНЯНЫЙ ПУСТОТЕЛЫЙ;5
253067;КИРПИЧ-КЛИНКЕР;5
253071;КИРПИЧ ЛЕКАЛЬНЫЙ, КРОМЕ ОГНЕУПОРНОГО;5
253086;КИРПИЧ ЛИЦЕВОЙ БЕЛЫЙ;5
253090;КИРПИЧ ЛИЦЕВОЙ КРАСНЫЙ;5
253103;КИРПИЧ СИЛИКАТНЫЙ;5
253118;КИРПИЧ АСБОЦЕМЕНТНЫЙ;5
253122;КИРПИЧ ШЛАКОВЫЙ;5
253137;КИРПИЧ СТРОИТЕЛЬНЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;5
253141;КИРПИЧ ПЕНОДИАТОМИТОВЫЙ, ДИАТОМИТОВЫЙ И ТРЕПЕЛЬНЫЙ;5
254002;КОНСТРУКЦИИ (СБОРНЫЕ) ДЕТАЛИ И ИЗДЕЛИЯ ЖЕЛЕЗОБЕТОННЫЕ;5
254017;БАЛКИ ЖЕЛЕЗОБЕТОННЫЕ;5
254021;ЖЕЛОБА ДЛЯ ТРУБ ЖЕЛЕЗОБЕТОННЫЕ;5
254036;ИЗДЕЛИЯ ЖЕЛЕЗОБЕТОННЫЕ ДЛЯ СЕНАЖНЫХ БАШЕН;5
254040;ИЗДЕЛИЯ ЖЕЛЕЗОБЕТОННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;5
254055;КОНСТРУКЦИИ ЖЕЛЕЗОБЕТОННЫЕ;5
254060;МАЧТЫ ЖЕЛЕЗОБЕТОННЫЕ;5
254074;ОПОРЫ ЖЕЛЕЗОБЕТОННЫЕ;5
254089;ПАНЕЛИ СТЕНОВЫЕ ЖЕЛЕЗОБЕТОННЫЕ;5
254093;ПЛИТЫ ЖЕЛЕЗОБЕТОННЫЕ;5
254106;ПЛИТЫ ЖЕЛЕЗОБЕТОННЫЕ ПУСТОТЕЛОГО НАСТИЛА;5
254110;ПЛИТЫ ЖЕЛЕЗОБЕТОННЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;5
254125;РЕЛЬСЫ ЖЕЛЕЗОБЕТОННЫЕ;3
254137;ТРУБЫ ЖЕЛЕЗОБЕТОННЫЕ БЕЗНАПОРНЫЕ И ИХ ЧАСТИ;5
254144;ТРУБЫ ЖЕЛЕЗОБЕТОННЫЕ НАПОРНЫЕ И ИХ ЧАСТИ;5
254159;ШПАЛЫ ЖЕЛЕЗОБЕТОННЫЕ;5
255005;ЧЕРЕПИЦА И ШИФЕР;10
255013;ЛИСТЫ АСБЕСТОЦЕМЕНТНЫЕ ВОЛНИСТЫЕ И ПОЛУВОЛНИСТЫЕ;5
255024;СЛАНЕЦ КРОВЕЛЬНЫЙ (ШИФЕР ЕСТЕСТВЕННЫЙ);10
255039;ЧЕРЕПИЦА КРОВЕЛЬНАЯ, КРОМЕ МЕТАЛЛИЧЕСКОЙ;10
255043;ШИФЕР ИСКУССТВЕННЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;10
255058;ШИФЕР КРОВЕЛЬНЫЙ ВОЛНИСТЫЙ;10
255062;ЭТЕРНИТ (ПЛИТКИ И ПЛИТЫ АСБОЦЕМЕНТНЫЕ);5
255077;ГИДРОПОЛ;10
256008;ДОМА СБОРНО-РАЗБОРНЫЕ БЕСФУНДАМЕНТНЫЕ;10
256012;ДЕТАЛИ КРУПНОБЛОЧНЫХ ДОМОВ;10
256027;ДОМА (ДОМИКИ) САДОВЫЕ;10
256031;ДОМА СБОРНО-РАЗБОРНЫЕ БЕСФУНДАМЕНТНЫЕ ИЗ ОБЪЕМНЫХ БЛОКОВ;10
256046;ДОМА СБОРНО-РАЗБОРНЫЕ ИЗ ДРЕВЕСНОСТРУЖЕЧНОЙ ПЛИТЫ;10
256050;ДОМА СО СТЕНАМИ ИЗ АРБОЛИТА;10
256065;ЗДАНИЯ ИНВЕНТАРНЫЕ КОНТЕЙНЕРНОГО ТИПА;10
256076;КИОСКИ ТОРГОВЫЕ;10
256084;КОМПЛЕКТЫ ДЕТАЛЕЙ ДЛЯ ДОМОВ СО СТЕНАМИ ИЗ АРБОЛИТА;10
256099;ПАВИЛЬОНЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10
256101;ЮРТЫ;10
260003;МАТЕРИАЛЫ, ИЗДЕЛИЯ СТРО-ИТЕЛЬНЫЕ ПРОМЫШЛЕН-НОГО ПРОИЗВОДСТВА, КРОМЕ СТЕНОВЫХ И КРОВЕЛЬНЫХ;10
261006;МАТЕРИАЛЫ, ИЗДЕЛИЯ ТЕП-ЛО- И ЗВУКОИЗОЛЯЦИОННЫЕ, КРОМЕ АСБЕСТОВЫХ ТЕХНИЧЕСКИХ;10
261010;АСБЕСТИН;10
261025;АСБЕСТИТ;10
261031;АСБОЗОНОЛИТ;10
261044;АСБОЗУРИТ;10
261059;АСБОТЕРМИТ;10
261063;АСБОФАНЕРА;10
