Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
12807;МЕДВ.ГОР-ПЕР;МЕДВЕЖЬЯ ГОРА-ПЕРЕВАЛКА ;Карелия;Республика Карелия;Республика;ОКТ
13000;БЕЛОМОРСК;БЕЛОМОРСК ;Карелия;Республика Карелия;Республика;ОКТ
13015;ЗАЛИВЫ;ЗАЛИВЫ ;Карелия;Республика Карелия;Республика;ОКТ
13119;МЯГРЕКА;МЯГРЕКА ;Карелия;Республика Карелия;Республика;ОКТ
13123;ШУЕРЕЦКАЯ;ШУЕРЕЦКАЯ ;Карелия;Республика Карелия;Республика;ОКТ
13208;КЕМЬ;КЕМЬ ;Карелия;Республика Карелия;Республика;ОКТ
13212;РЗД 846 КМ;РАЗЪЕЗД 846 КМ ;Карелия;Республика Карелия;Республика;ОКТ
13227;ЛАМБИНО;ЛАМБИНО ;Карелия;Республика Карелия;Республика;ОКТ
13231;ПОНЬГОМА;ПОНЬГОМА ;Карелия;Республика Карелия;Республика;ОКТ
13246;РЗД 883 КМ;РАЗЪЕЗД 883 КМ ;Карелия;Республика Карелия;Республика;ОКТ
13250;КЕМЬ-ПРИСТАН;КЕМЬ-ПРИСТАНЬ ;Карелия;Республика Карелия;Республика;ОКТ
13301;БЕЛОМОР.-ПЕР;БЕЛОМОРСК-ПЕРЕВАЛКА ;Карелия;Республика Карелия;Республика;ОКТ
13509;КУЗЕМА;КУЗЕМА ;Карелия;Республика Карелия;Республика;ОКТ
13513;ВОНЬГА;ВОНЬГА ;Карелия;Республика Карелия;Республика;ОКТ
13528;СИГ;СИГ ;Карелия;Республика Карелия;Республика;ОКТ
13602;ЭНГОЗЕРО;ЭНГОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
13706;АМБАРНЫЙ;АМБАРНЫЙ ;Карелия;Республика Карелия;Республика;ОКТ
13710;БОЯРСКАЯ;БОЯРСКАЯ ;Карелия;Республика Карелия;Республика;ОКТ
13801;ЛОУХИ;ЛОУХИ ;Карелия;Республика Карелия;Республика;ОКТ
13829;КЕРЕТЬ;КЕРЕТЬ ;Карелия;Республика Карелия;Республика;ОКТ
13903;ЕЛОВАЯ;ЕЛОВАЯ ;Карелия;Республика Карелия;Республика;ОКТ
14003;КЕСТЕНЬГА;КЕСТЕНЬГА ;Карелия;Республика Карелия;Республика;ОКТ
14107;ПЯОЗЕРО;ПЯОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
14304;ЧУПА;ЧУПА ;Карелия;Республика Карелия;Республика;ОКТ
14319;КАТОЗЕРО;КАТОЗЕРО ;Карелия;Республика Карелия;Республика;ОКТ
