ipem_index;ipem_key;origin_esr;dest_esr;cargo_name;cargo_id;cargo_code;rzd_cost_loaded_per_ton;rzd_cost_empty_per_ton;rzd_cost_total_per_ton;operators_cost_per_ton;transshipment_cost_per_ton;excise_or_duty_per_ton;transport_total_cost_per_ton;production_cost_per_ton;total_cost_per_ton;market_price_per_ton;rzd_match_count
436;3380_58310;3380;58310;ПЛИТЫ ЖЕЛЕЗБЕТ;25409;25409;1584.23;0.00;1584.23;532.00;0.00;0.00;2116.23;8256.51;10372.74;11795.01;2
438;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;28104;28104;412.46;131.60;544.06;289.29;0.00;0.00;833.35;3105.90;3939.25;6090.00;16
439;53110_53260;53110;53260;П/ЦЕМЕНТ СТР;28104;28104;925.62;0.00;925.62;286.38;0.00;0.00;1212.00;2618.70;3830.70;6090.00;7
440;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;28104;28104;412.46;131.60;544.06;289.29;0.00;0.00;833.35;3105.90;3939.25;6090.00;16
441;2380_23780;2380;23780;ЩЕБЕНЬ ПР;23243;23243;647.07;0.00;647.07;465.36;0.00;0.00;1112.43;1761.83;2874.26;2696.02;4
442;29610_28660;29610;28660;ЩЕБЕНЬ Д/БАЛ ЖП;23603;23603;614.36;0.00;614.36;393.77;0.00;0.00;1008.13;1686.86;2694.99;2243.64;3
443;29610_29050;29610;29050;ЩЕБЕНЬ ГРАН ПР;23239;23239;249.80;0.00;249.80;286.38;0.00;0.00;536.18;1686.86;2223.04;2422.73;12
445;88790_43840;88790;43840;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
446;88790_43860;88790;43860;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
447;79320_83150;79320;83150;ИЗВЕСТЬ НЕГАШЕН;23311;23311;544.53;0.00;544.53;460.51;0.00;0.00;1005.04;9226.67;10231.71;11982.69;2
448;2210_18020;2210;18020;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;429.57;0.00;0.00;1043.93;1068.34;2112.27;2696.02;7
449;2310_23780;2310;23780;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;465.36;0.00;0.00;1079.72;1068.34;2148.07;2696.02;3
450;2310_18180;2310;18180;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;465.36;0.00;0.00;1079.72;1068.34;2148.07;2696.02;2
