index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
418;1540_81750;1540;81750;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);True;7
419;94470_94700;94470;94700;КОНЦЕНТРАТ ЖЛРУ;Экспорт (Восток);True;15
420;43840_94700;43840;94700;РУДА ЖЕЛЕЗ ПР;Экспорт (Восток);True;3
421;1840_1640;1840;1640;ШТЕЙН НИКЕЛЕВ;Внутр. перевозки (Северо-Запад);True;9
423;77540_61050;77540;61050;ГЛИНОЗЕМ;Внутр. перевозки (Юг);True;2
424;77300_77000;77300;77000;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Юг);True;103
425;94470_94700;94470;94700;КОНЦЕНТР МЕДН;Экспорт (Восток);True;15
427;88790_2780;88790;2780;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Северо-Запад);True;6
428;2310_26270;2310;26270;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Юг);True;8
429;2310_24360;2310;24360;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Юг);True;4
430;88780_20080;88780;20080;ГЛИНОПОРОШОК;Внутр. перевозки (Северо-Запад);True;10
431;88790_2780;88790;2780;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Северо-Запад);True;6
432;79320_88250;79320;88250;ИЗВЕСТЬ НЕГАШЕН;Внутр. перевозки (Восток);True;5
433;81400_62370;81400;62370;ЩЕБЕНЬ ПР;Внутр. перевозки (Юг);True;4
434;3210_81300;3210;81300;КИРПИЧ СТР ПР;Экспорт (Юг);True;12
436;3380_58310;3380;58310;ПЛИТЫ ЖЕЛЕЗБЕТ;Внутр. перевозки (Юг);True;2
438;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;Экспорт (Северо-Запад);True;30
439;53110_53260;53110;53260;П/ЦЕМЕНТ СТР;Экспорт (Юг);True;7
440;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;Экспорт (Северо-Запад);True;30
441;2380_23780;2380;23780;ЩЕБЕНЬ ПР;Внутр. перевозки (Северо-Запад);True;5
442;29610_28660;29610;28660;ЩЕБЕНЬ Д/БАЛ ЖП;Внутр. перевозки (Северо-Запад);True;3
443;29610_29050;29610;29050;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Северо-Запад);True;19
445;88790_43840;88790;43840;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Юг);True;4
446;88790_43860;88790;43860;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Юг);True;8
447;79320_83150;79320;83150;ИЗВЕСТЬ НЕГАШЕН;Внутр. перевозки (Юг);True;4
448;2210_18020;2210;18020;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Северо-Запад);True;11
449;2310_23780;2310;23780;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Северо-Запад);True;3
450;2310_18180;2310;18180;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Северо-Запад);True;2
451;3210_29040;3210;29040;КИРПИЧ СТР ПР;Внутр. перевозки (Северо-Запад);True;1
452;79320_79870;79320;79870;ЩЕБЕНЬ ПР;Внутр. перевозки (Юг);True;8
453;80540_64840;80540;64840;ЩЕБЕНЬ ПР;Внутр. перевозки (Юг);True;7
454;81730_25240;81730;25240;ЩЕБЕНЬ ПР;Внутр. перевозки (Юг);True;1
455;81390_65730;81390;65730;ЩЕБЕНЬ Д/БАЛ ЖП;Внутр. перевозки (Юг);True;10
456;58320_62400;58320;62400;ЩЕБЕНЬ Д/БАЛ ЖП;Внутр. перевозки (Юг);True;6
457;88790_43840;88790;43840;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Юг);True;4
458;88790_43860;88790;43860;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Юг);True;8
459;88790_77300;88790;77300;ГЛИНА БЕНТОНИТ;Внутр. перевозки (Юг);True;3
460;3380_93160;3380;93160;ПЛИТЫ ЖЕЛЕЗБЕТ;Внутр. перевозки (Восток);True;4
461;58320_19290;58320;19290;ЩЕБЕНЬ ГРАН ПР;Внутр. перевозки (Северо-Запад);True;12
462;76790_77000;76790;77000;КОКС ДОМЕН;Внутр. перевозки (Юг);True;17
463;84140_59220;84140;59220;КОКС ДОМЕН;Внутр. перевозки (Юг);True;10
464;87130_21190;87130;21190;КОКС ДОМЕН;Внутр. перевозки (Северо-Запад);True;13
465;84140_79380;84140;79380;КОКС ЛИТЕЙН;Внутр. перевозки (Юг);True;2
466;19330_52780;19330;52780;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;11
467;84140_84330;84140;84330;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;11
468;19330_21390;19330;21390;КОКС ПР;Внутр. перевозки (Северо-Запад);True;8
469;77000_82010;77000;82010;ОРЕШЕК КОКСОВ;Экспорт (Юг);True;13
470;76790_21390;76790;21390;КОКС ДОМЕН;Внутр. перевозки (Северо-Запад);True;6
472;76790_52100;76790;52100;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;8
473;87130_77000;87130;77000;КОКС ДОМЕН;Внутр. перевозки (Юг);True;5
474;30250_86410;30250;86410;ОРЕШЕК КОКСОВ;Внутр. перевозки (Юг);True;7
475;77000_77300;77000;77300;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);True;89
476;19330_52780;19330;52780;КОКС ПР;Экспорт (Юг);True;11
477;19330_92450;19330;92450;ОРЕШЕК КОКСОВ;Внутр. перевозки (Восток);True;5
478;87130_88260;87130;88260;ОРЕШЕК КОКСОВ;Внутр. перевозки (Восток);True;2
479;81420_54490;81420;54490;ОРЕШЕК КОКСОВ;Экспорт (Юг);True;8
480;76790_97000;76790;97000;КОКС ЛИТЕЙН;Внутр. перевозки (Восток);True;1
481;84140_84330;84140;84330;КОКС ЛИТЕЙН;Экспорт (Юг);True;11
482;81420_86410;81420;86410;КОКС ДОМЕН;Внутр. перевозки (Юг);True;13
483;87130_77000;87130;77000;КОКС ДОМЕН;Внутр. перевозки (Юг);True;5
484;30250_81650;30250;81650;ОРЕШЕК КОКСОВ;Экспорт (Юг);True;182
485;84140_88260;84140;88260;ОРЕШЕК КОКСОВ;Внутр. перевозки (Восток);True;1
486;81760_51330;81760;51330;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);True;32
487;30250_17410;30250;17410;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Северо-Запад);True;3
488;30250_17410;30250;17410;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Северо-Запад);True;3
489;21190_81650;21190;81650;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;47
490;19330_92450;19330;92450;ОРЕШЕК КОКСОВ;Внутр. перевозки (Восток);True;5
491;76790_87040;76790;87040;КОКС ЛИТЕЙН;Внутр. перевозки (Юг);True;4
492;77000_77300;77000;77300;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);True;89
493;81420_81650;81420;81650;КОКС ЛИТЕЙН;Экспорт (Юг);True;96
494;87130_98930;87130;98930;МЕЛОЧЬ КОКСОВ;Экспорт (Восток);True;1
495;84140_59230;84140;59230;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);True;5
496;30250_2010;30250;2010;МЕЛОЧЬ КОКСОВ;Экспорт (Северо-Запад);True;4
497;77000_86410;77000;86410;КОКС ПР;Внутр. перевозки (Юг);True;7
498;76790_21390;76790;21390;КОКС ДОМЕН;Внутр. перевозки (Северо-Запад);True;6
499;81760_51530;81760;51530;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;2
500;81420_86410;81420;86410;КОКС ДОМЕН;Внутр. перевозки (Юг);True;13
502;87130_21190;87130;21190;КОКС ДОМЕН;Внутр. перевозки (Северо-Запад);True;13
503;76790_7640;76790;7640;КОКС ДОМЕН;Экспорт (Северо-Запад);True;3
504;30250_80680;30250;80680;КОКС ДОМЕН;Внутр. перевозки (Юг);True;3
505;77000_93290;77000;93290;КОКС ПЕК КАМ/УГ;Внутр. перевозки (Восток);True;6
506;76790_7640;76790;7640;КОКС ДОМЕН;Экспорт (Северо-Запад);True;3
507;19330_20120;19330;20120;КОКС ЛИТЕЙН;Экспорт (Северо-Запад);True;21
508;77000_93290;77000;93290;КОКС ПЕК КАМ/УГ;Внутр. перевозки (Восток);True;6
510;76790_52100;76790;52100;МЕЛОЧЬ КОКСОВ;Экспорт (Юг);True;8
511;81760_80140;81760;80140;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);True;56
512;87130_59220;87130;59220;КОКС ДОМЕН;Внутр. перевозки (Юг);True;1
513;19330_77000;19330;77000;КОКС ПР;Внутр. перевозки (Юг);True;8
515;19330_20120;19330;20120;КОКС ЛИТЕЙН;Экспорт (Северо-Запад);True;21
516;29810_62850;29810;62850;ПИЛМАТ ПР;Экспорт (Юг);True;4
517;29170_3560;29170;3560;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;2
519;29810_98610;29810;98610;ПИЛМАТ ПР;Экспорт (Восток);True;1
520;29810_7570;29810;7570;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;1
521;30060_1180;30060;1180;ЩЕПА КР КРОВЕЛ;Внутр. перевозки (Северо-Запад);True;7
522;27350_85030;27350;85030;ФАНЕРА КЛЕЕНАЯ;Внутр. перевозки (Юг);True;4
523;29610_62850;29610;62850;ПИЛМАТ ПР;Экспорт (Юг);True;3
524;89580_98610;89580;98610;ПИЛМАТ ПР;Экспорт (Восток);True;1
525;89580_52100;89580;52100;ПИЛМАТ ПР;Экспорт (Юг);True;6
526;29810_26190;29810;26190;ЩЕПА КР КРОВЕЛ;Внутр. перевозки (Юг);True;11
527;29870_64890;29870;64890;БАЛАНСЫ ХВОЙН;Внутр. перевозки (Юг);True;4
528;29170_61840;29170;61840;ПИЛМАТ ПР;Экспорт (Юг);True;7
529;29610_7640;29610;7640;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;2
530;29050_93730;29050;93730;ПИЛМАТ ПР;Экспорт (Восток);True;6
531;29780_29000;29780;29000;БАЛАНСЫ СВ 1,5М;Внутр. перевозки (Северо-Запад);True;14
532;29780_29000;29780;29000;БАЛАНСЫ СВ 1,5М;Внутр. перевозки (Северо-Запад);True;14
533;88250_98930;88250;98930;ПИЛМАТ ПР;Экспорт (Восток);True;19
534;92780_92460;92780;92460;ЩЕПА КР КРОВЕЛ;Внутр. перевозки (Восток);True;32
535;88250_93280;88250;93280;ПЛИТЫ ДВП;Внутр. перевозки (Восток);True;1
536;29170_3560;29170;3560;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;2
537;29810_3560;29810;3560;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;7
538;29810_1090;29810;1090;ЛЕСМАТ СВ 2М;Внутр. перевозки (Северо-Запад);True;17
539;88250_52100;88250;52100;ПИЛМАТ ПР;Экспорт (Юг);True;41
541;29810_93730;29810;93730;ПИЛМАТ ПР;Экспорт (Восток);True;13
542;88250_98610;88250;98610;ПИЛМАТ ПР;Экспорт (Восток);True;22
543;88250_98610;88250;98610;ПИЛМАТ ПР;Экспорт (Восток);True;22
544;29160_29810;29160;29810;ПИЛОВОЧНИК ВС;Внутр. перевозки (Северо-Запад);True;2
545;29810_98020;29810;98020;ПИЛМАТ ПР;Экспорт (Восток);True;22
546;29170_62850;29170;62850;ПИЛМАТ ПР;Экспорт (Юг);True;4
547;30060_27350;30060;27350;КРЯЖ ФАНЕРНЫЙ;Внутр. перевозки (Юг);True;2
548;29050_94700;29050;94700;ПИЛМАТ ПР;Экспорт (Восток);True;19
549;29610_3560;29610;3560;ПИЛМАТ ПР;Экспорт (Северо-Запад);True;4
9;85270_4750;85270;4750;АНТРАЦИТ;Внутр. перевозки (Северо-Запад);False;0
14;86210_96280;86210;96280;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
25;89310_22790;89310;22790;УГ БУР НЕПОДМОС;Внутр. перевозки (Северо-Запад);False;0
30;86210_28870;86210;28870;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);False;0
40;87190_97040;87190;97040;УГОЛЬ СС;Внутр. перевозки (Восток);False;0
47;87590_52810;87590;52810;КОНЦЕНТР УГОЛЬН;Экспорт (Юг);False;0
60;86300_29000;86300;29000;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);False;0
84;86430_53260;86430;53260;УГОЛЬ Т;Экспорт (Юг);False;0
102;86310_81450;86310;81450;КОНЦЕНТР УГОЛЬН;Экспорт (Юг);False;0
109;88760_28090;88760;28090;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);False;0
111;86390_51090;86390;51090;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Юг);False;0
114;86220_97000;86220;97000;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
115;86370_52520;86370;52520;УГОЛЬ Т;Экспорт (Юг);False;0
117;88900_85200;88900;85200;УГ БУР НЕПОДМОС;Внутр. перевозки (Юг);False;0
118;88830_98260;88830;98260;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
119;86300_98430;86300;98430;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
130;86430_51520;86430;51520;УГОЛЬ Т;Экспорт (Юг);False;0
135;91610_96390;91610;96390;УГОЛЬ Д;Экспорт (Восток);False;0
141;86480_88260;86480;88260;АНТРАЦИТ;Внутр. перевозки (Восток);False;0
142;86300_29020;86300;29020;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);False;0
143;91720_98260;91720;98260;УГОЛЬ Г;Внутр. перевозки (Восток);False;0
147;86300_95470;86300;95470;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
154;87190_30250;87190;30250;КОНЦЕНТР УГОЛЬН;Внутр. перевозки (Северо-Запад);False;0
155;88790_1830;88790;1830;УГОЛЬ Д;Внутр. перевозки (Северо-Запад);False;0
158;86480_84330;86480;84330;АНТРАЦИТ;Экспорт (Юг);False;0
177;86480_51380;86480;51380;КОНЦЕНТР УГОЛЬН;Экспорт (Юг);False;0
179;86290_97040;86290;97040;УГОЛЬ СС;Внутр. перевозки (Восток);False;0
181;86210_80140;86210;80140;УГОЛЬ Д;Внутр. перевозки (Юг);False;0
183;86220_92450;86220;92450;УГОЛЬ Д;Внутр. перевозки (Восток);False;0
214;61010_95300;61010;95300;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);False;0
221;3160_91020;3160;91020;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);False;0
242;80120_23040;80120;23040;РЕЛЬСЫ НОВ Р-65;Внутр. перевозки (Северо-Запад);False;0
270;24360_18390;24360;18390;ПРОК ЧЕРМЕТ ПР;Внутр. перевозки (Северо-Запад);False;0
274;24360_3590;24360;3590;ТРУБЫ МЕТ ПР;Экспорт (Северо-Запад);False;0
308;81420_3560;81420;3560;ЧУГУН ПЕР РЯД;Экспорт (Северо-Запад);False;0
338;52830_52270;52830;52270;ПШЕНИЦА;Внутр. перевозки (Юг);False;0
340;65270_2070;65270;2070;ЯЧМЕНЬ;Экспорт (Северо-Запад);False;0
341;22530_2070;22530;2070;ПШЕНИЦА;Экспорт (Северо-Запад);False;0
345;65230_4850;65230;4850;ПШЕНИЦА;Внутр. перевозки (Северо-Запад);False;0
346;52830_53310;52830;53310;ПШЕНИЦА;Экспорт (Юг);False;0
348;22530_52270;22530;52270;ПШЕНИЦА;Внутр. перевозки (Юг);False;0
349;63300_61440;63300;61440;ЯЧМЕНЬ;Внутр. перевозки (Юг);False;0
350;65270_61440;65270;61440;ЯЧМЕНЬ;Внутр. перевозки (Юг);False;0
352;95530_98020;95530;98020;ЯЧМЕНЬ;Экспорт (Восток);False;0
358;92450_18360;92450;18360;АЛЮМИНИЙ СПЛАВ;Внутр. перевозки (Северо-Запад);False;0
363;93290_18360;93290;18360;АЛЮМИНИЙ СПЛАВ;Внутр. перевозки (Северо-Запад);False;0
375;2780_81750;2780;81750;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Юг);False;0
378;2780_81750;2780;81750;ОКАТЫШИ Ж/РУД;Внутр. перевозки (Юг);False;0
383;94470_86420;94470;86420;КОНЦЕНТРАТ ЖЛРУ;Внутр. перевозки (Юг);False;0
401;81410_94700;81410;94700;КОНЦЕНТР ЦИНКОВ;Экспорт (Восток);False;0
422;43840_7600;43840;7600;БРИКЕТЫ ЖЕЛЕЗ;Экспорт (Северо-Запад);False;0
426;80830_81650;80830;81650;П/ЦЕМЕНТ СТР;Экспорт (Юг);False;0
435;3380_53470;3380;53470;ПЛИТЫ ЖЕЛЕЗБЕТ;Внутр. перевозки (Юг);False;0
437;3380_61280;3380;61280;ПЛИТЫ ЖЕЛЕЗБЕТ;Внутр. перевозки (Юг);False;0
444;2380_18180;2380;18180;ЩЕБЕНЬ ПР;Внутр. перевозки (Северо-Запад);False;0
471;19330_4720;19330;4720;КОКС ПР;Внутр. перевозки (Северо-Запад);False;0
501;81760_2010;81760;2010;МЕЛОЧЬ КОКСОВ;Экспорт (Северо-Запад);False;0
509;19330_51330;19330;51330;МЕЛОЧЬ КОКСОВ;Внутр. перевозки (Юг);False;0
514;30260_2010;30260;2010;МЕЛОЧЬ КОКСОВ;Экспорт (Северо-Запад);False;0
518;29610_52780;29610;52780;ПИЛМАТ ПР;Экспорт (Юг);False;0
540;27350_3560;27350;3560;ФАНЕРА КЛЕЕНАЯ;Экспорт (Северо-Запад);False;0
