index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
190;59220_89210;59220;89210;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Восток);True;2
191;21190_24360;21190;24360;ЧУГУН ПЕР РЯД;Внутр. перевозки (Юг);True;8
192;24360_84000;24360;84000;КОЛЕСА ВАГ НОВ;Внутр. перевозки (Юг);True;2
193;24360_79820;24360;79820;ТРУБЫ МЕТ ПР;Внутр. перевозки (Юг);True;7
194;24360_92710;24360;92710;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);True;17
195;80120_17140;80120;17140;РЕЛЬСЫ НОВ Р-65;Экспорт (Северо-Запад);True;8
196;78030_98090;78030;98090;СТАЛЬ ЛИСТ ТРАН;Экспорт (Восток);True;5
197;43860_62850;43860;62850;ЗАГОТ Д/ПЕР РЯД;Экспорт (Юг);True;30
198;30250_20120;30250;20120;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;27
199;81760_98210;81760;98210;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Восток);True;45
200;93290_88760;93290;88760;КРЕМНИЙ КРИСТАЛ;Внутр. перевозки (Восток);True;96
201;59220_3590;59220;3590;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;19
202;59220_53310;59220;53310;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;26
203;30250_3160;30250;3160;ЗАГОТ Д/ПЕР КАЧ;Внутр. перевозки (Северо-Запад);True;24
204;81420_24360;81420;24360;ЗАГОТ СТ ПР;Внутр. перевозки (Юг);True;9
205;30250_93010;30250;93010;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Восток);True;10
206;30250_64840;30250;64840;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;69
207;30250_25240;30250;25240;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;75
208;3160_79860;3160;79860;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Юг);True;7
209;3160_87430;3160;87430;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Юг);True;4
210;30250_61040;30250;61040;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;41
211;3160_77940;3160;77940;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Юг);True;2
212;43860_52350;43860;52350;ЗАГОТ Д/ПЕР РЯД;Внутр. перевозки (Юг);True;9
213;21190_78140;21190;78140;ЧУГУН ПЕР РЯД;Внутр. перевозки (Юг);True;7
215;65430_85020;65430;85020;ПРОВОЛОКА СТ;Внутр. перевозки (Юг);True;13
216;43860_3160;43860;3160;ПРОК ЧЕРМЕТ ПР;Внутр. перевозки (Северо-Запад);True;9
217;93290_88760;93290;88760;КРЕМНИЙ КРИСТАЛ;Внутр. перевозки (Восток);True;96
218;59220_3590;59220;3590;СЛЯБЫ;Экспорт (Северо-Запад);True;19
219;81420_17140;81420;17140;ЧУГУН ПЕР РЯД;Экспорт (Северо-Запад);True;15
220;3160_92710;3160;92710;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);True;11
222;81420_80060;81420;80060;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;22
223;81420_85120;81420;85120;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;17
224;81420_23670;81420;23670;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;6
225;59220_52540;59220;52540;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;20
226;59220_51000;59220;51000;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;51
227;59220_78080;59220;78080;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;25
228;79540_86410;79540;86410;КРЕМНИЙ КРИСТАЛ;Внутр. перевозки (Юг);True;4
229;30250_61040;30250;61040;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;41
230;30250_61190;30250;61190;КАТАНКА СТ;Внутр. перевозки (Юг);True;36
231;59220_23860;59220;23860;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;6
232;59220_19100;59220;19100;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;7
233;81420_17140;81420;17140;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;15
234;24360_17140;24360;17140;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;4
235;51150_79700;51150;79700;ТРУБЫ БЕСШОВ;Внутр. перевозки (Юг);True;15
236;61010_79510;61010;79510;ЗАГОТОВКА ТРУБ;Внутр. перевозки (Юг);True;6
237;30250_84480;30250;84480;ПРОВОЛОКА СТ;Экспорт (Юг);True;6
